"filename", "language", "Markdown", "JSON with Comments", "TypeScript", "JavaScript", "JSON", "YAML", "XML", "TypeScript JSX", "CSS", "HTML", "comment", "blank", "total"
"e:\Projects\Nextjs-projects\icstudio-reset\.prettierrc", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"e:\Projects\Nextjs-projects\icstudio-reset\README.md", "Markdown", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 37
"e:\Projects\Nextjs-projects\icstudio-reset\components.json", "JSON", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 21
"e:\Projects\Nextjs-projects\icstudio-reset\eslint.config.mjs", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"e:\Projects\Nextjs-projects\icstudio-reset\next.config.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 4, 9
"e:\Projects\Nextjs-projects\icstudio-reset\package-lock.json", "JSON", 0, 0, 0, 0, 5802, 0, 0, 0, 0, 0, 0, 1, 5803
"e:\Projects\Nextjs-projects\icstudio-reset\package.json", "JSON", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 1, 50
"e:\Projects\Nextjs-projects\icstudio-reset\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 4213, 0, 0, 0, 0, 0, 1054, 5267
"e:\Projects\Nextjs-projects\icstudio-reset\postcss.config.mjs", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"e:\Projects\Nextjs-projects\icstudio-reset\public\file.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Projects\Nextjs-projects\icstudio-reset\public\globe.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Projects\Nextjs-projects\icstudio-reset\public\logo\logo-django.42234b631760.svg", "XML", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 11
"e:\Projects\Nextjs-projects\icstudio-reset\public\logo\logo-t.svg", "XML", 0, 0, 0, 0, 0, 0, 536, 0, 0, 0, 0, 1, 537
"e:\Projects\Nextjs-projects\icstudio-reset\public\logo\moon-b.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Projects\Nextjs-projects\icstudio-reset\public\logo\moon-w.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Projects\Nextjs-projects\icstudio-reset\public\loome.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 234, 2, 2, 238
"e:\Projects\Nextjs-projects\icstudio-reset\public\next.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
